Start time	End time	Start DateTime	End DateTime	Scattering conc (#/cm3-STP)	Incandescent Conc (#/cm3-STP)	Scattering mass conc (ng/m3-STP)	Total scattering mass conc (ng/m3-STP)	Incandescent mass conc (ng/m3-STP)	Total incandescent mass conc (ng/m3-STP)
44590	44600	3624697390	3624697400	12.193898	6.4280934	218.0777	260.11154	12.7712	12.7712
44600	44610	3624697400	3624697410	13.182847	7.1374583	219.26326	271.50504	9.5116816	9.5116816
44610	44620	3624697410	3624697420	30.267574	13.45659	521.16833	543.24487	22.960833	22.960833
44620	44630	3624697420	3624697430	33.274826	14.806129	562.9494	681.53302	30.096476	30.096476
44630	44640	3624697430	3624697440	33.474701	17.029619	573.6712	654.75146	30.881765	30.881765
44640	44650	3624697440	3624697450	36.285725	17.440557	643.31067	766.43872	30.050922	30.050922
44650	44660	3624697450	3624697460	36.221226	14.660044	641.9967	729.3797	33.343018	33.343018
44660	44670	3624697460	3624697470	39.096813	14.071733	661.6073	760.83557	29.187757	29.187757
44670	44680	3624697470	3624697480	39.953785	15.708658	674.06647	765.19861	25.044825	25.044825
44680	44690	3624697480	3624697490	38.280975	15.203238	652.13159	739.52136	26.62233	26.62233
44690	44700	3624697490	3624697500	40.246456	13.597302	698.86096	779.31274	28.423418	28.423418
44700	44710	3624697500	3624697510	42.852337	15.245918	719.58618	876.25842	32.083344	32.083344
44710	44720	3624697510	3624697520	42.40847	13.772024	744.60889	858.18097	26.799572	26.799572
44720	44730	3624697520	3624697530	42.537727	13.16644	751.31122	826.92511	25.004398	25.004398
44730	44740	3624697530	3624697540	43.89481	11.978406	752.53339	850.89203	19.194508	19.194508
44740	44750	3624697540	3624697550	42.055851	13.006161	727.52515	871.97614	26.659348	26.659348
44750	44760	3624697550	3624697560	42.407791	14.109945	722.83185	849.49792	29.432055	29.432055
44760	44770	3624697560	3624697570	47.32016	12.356253	822.43781	884.39423	32.894165	32.894165
44770	44780	3624697570	3624697580	46.949818	12.595342	811.57611	936.93115	31.598019	31.598019
44780	44790	3624697580	3624697590	45.830215	13.289204	793.55542	896.30975	21.748285	21.748285
44790	44800	3624697590	3624697600	44.751793	10.915071	798.89282	915.64008	25.038046	25.038046
44800	44810	3624697600	3624697610	44.053146	11.65654	773.29645	882.22211	29.140799	29.140799
44810	44820	3624697610	3624697620	47.709225	13.977006	826.51617	993.99908	35.917126	35.917126
44820	44830	3624697620	3624697630	47.34494	12.986709	818.85968	917.98248	29.910309	29.910309
44830	44840	3624697630	3624697640	46.492889	13.367192	808.46637	964.95197	29.89069	29.89069
44840	44850	3624697640	3624697650	48.169415	14.587337	816.27338	904.59912	32.058468	32.058468
44850	44860	3624697650	3624697660	41.14666	12.234897	741.44714	842.84247	26.025633	26.025633
44860	44870	3624697660	3624697670	41.357719	11.499083	723.45398	859.8252	25.885084	25.885084
44870	44880	3624697670	3624697680	38.812057	11.429078	686.06659	766.36444	20.456882	20.456882
44880	44890	3624697680	3624697690	33.501751	9.9418364	583.77588	659.24664	20.909224	20.909224
44890	44900	3624697690	3624697700	39.877048	11.540553	684.83118	776.2395	27.062056	34.038788
44900	44910	3624697700	3624697710	33.534832	9.3006763	572.61359	640.38464	24.377108	24.377108
44910	44920	3624697710	3624697720	36.608284	11.564112	641.55005	709.36456	23.622095	23.622095
44920	44930	3624697720	3624697730	42.573624	13.43608	731.68201	841.25891	29.212481	29.212481
44930	44940	3624697730	3624697740	41.907776	15.851733	710.33057	814.24255	32.610653	32.610653
44940	44950	3624697740	3624697750	39.003643	12.156981	668.96027	824.19952	19.797594	19.797594
44950	44960	3624697750	3624697760	37.14925	12.60421	624.61163	753.53546	32.775906	32.775906
44960	44970	3624697760	3624697770	37.784336	11.514854	654.96442	722.1095	25.727415	25.727415
44970	44980	3624697770	3624697780	35.83139	12.944529	611.82196	729.86658	22.42065	22.42065
44980	44990	3624697780	3624697790	43.384331	13.097157	767.82928	885.3938	32.503441	32.503441
44990	45000	3624697790	3624697800	50.450146	13.500194	870.328	946.39807	34.108826	34.108826
45000	45010	3624697800	3624697810	41.822556	10.757712	708.57196	881.06134	24.009169	24.009169
45010	45020	3624697810	3624697820	34.069118	9.3270559	573.50623	655.08783	28.651138	28.651138
45020	45030	3624697820	3624697830	38.885979	11.62289	674.34583	797.18378	32.318142	32.318142
45030	45040	3624697830	3624697840	37.626896	11.78768	640.40515	693.2735	25.882362	33.551582
45040	45050	3624697840	3624697850	40.548985	13.295388	700.59375	816.11798	34.097057	34.097057
45050	45060	3624697850	3624697860	40.890854	10.88602	713.94403	863.21814	23.922256	23.922256
45060	45070	3624697860	3624697870	42.16888	13.61419	738.44318	863.60162	35.956703	35.956703
45070	45080	3624697870	3624697880	41.562	11.863708	721.94415	875.26257	22.108936	29.77632
45080	45090	3624697880	3624697890	44.876644	12.086672	799.09583	964.97388	28.210222	28.210222
45090	45100	3624697890	3624697900	44.312611	13.69166	757.84204	853.51691	30.854452	30.854452
45100	45110	3624697900	3624697910	42.060379	13.694984	713.828	833.18958	27.237776	27.237776
45110	45120	3624697910	3624697920	39.311165	11.621753	681.95978	785.52222	29.910408	29.910408
45120	45130	3624697920	3624697930	38.476185	10.837264	651.61505	793.14679	24.635088	24.635088
45130	45140	3624697930	3624697940	37.397091	11.254297	625.81879	721.29553	22.227661	22.227661
45140	45150	3624697940	3624697950	39.421989	12.555767	668.87738	828.36353	35.290894	50.613468
45150	45160	3624697950	3624697960	39.390289	15.311952	665.23175	822.43201	28.595453	36.250679
45160	45170	3624697960	3624697970	37.229179	13.463382	667.69031	792.42749	32.846355	32.846355
45170	45180	3624697970	3624697980	35.574814	12.613243	621.32117	725.80859	28.747339	28.747339
45180	45190	3624697980	3624697990	39.968529	13.803765	691.76068	827.44452	32.587822	32.587822
45190	45200	3624697990	3624698000	43.083172	14.818417	736.31506	803.28857	30.704826	30.704826
45200	45210	3624698000	3624698010	48.348785	16.63698	859.70563	938.67615	50.213524	57.887245
45210	45220	3624698010	3624698020	56.612274	18.597834	973.04565	1133.8881	47.032928	54.69355
45220	45230	3624698020	3624698030	53.246567	17.72283	935.20728	1050.8478	49.287186	49.287186
45230	45240	3624698030	3624698040	55.254551	18.63962	961.34186	1184.0444	51.798611	51.798611
45240	45250	3624698040	3624698050	53.645092	17.594965	910.40894	1062.7625	38.901104	38.901104
45250	45260	3624698050	3624698060	53.954742	19.04055	920.51392	1085.9485	47.386929	47.386929
45260	45270	3624698060	3624698070	57.414116	21.232685	988.8537	1099.1464	55.212521	55.212521
